Province,Cumcases,Newcases,date,R,sd
Rhode Island,138255,1,2021-04-03,1.0550797937796,0.0197808145075138
Rhode Island,138255,1,2021-04-04,1.01778315975717,0.0190815709017676
Rhode Island,139173,918,2021-04-05,1.01196318073925,0.0189724569503207
Rhode Island,139549,376,2021-04-06,0.684084602885256,0.0155795999165742
Rhode Island,140025,476,2021-04-07,1.44050149060809,0.0253501007383859
Rhode Island,140534,509,2021-04-08,1.08445900028068,0.0190814720834085
Rhode Island,141097,563,2021-04-09,1.04444733233774,0.0184346131672287
Rhode Island,141097,1,2021-04-10,0.988338632762029,0.0178784184024009
Rhode Island,141097,1,2021-04-11,1.01481125875323,0.0183572913999669
Rhode Island,141097,1,2021-04-12,1.01574010401613,0.0183740936210788
Rhode Island,142774,1677,2021-04-13,1.28553789677147,0.0206593764608954
Rhode Island,143251,477,2021-04-14,0.732235525136307,0.0143963561117777
Rhode Island,143740,489,2021-04-15,0.855847966377922,0.0174735641636851
Rhode Island,144149,409,2021-04-16,0.883642983836827,0.0184613854071069
Rhode Island,144149,1,2021-04-17,0.87930590418515,0.0188413081086875
Rhode Island,144149,1,2021-04-18,0.918878796476654,0.019689255396278
Rhode Island,144966,817,2021-04-19,0.931500861878798,0.0199597144277458
Rhode Island,145358,392,2021-04-20,0.861392692908445,0.0192757884333591
Rhode Island,145647,289,2021-04-21,0.852105456723529,0.0197312195212354
Rhode Island,146028,381,2021-04-22,0.943108900457761,0.0213189804158096
Rhode Island,146324,296,2021-04-23,0.890235443421191,0.0205755739646829
Rhode Island,146324,1,2021-04-24,0.914558722080918,0.0211773774807477
Rhode Island,146324,1,2021-04-25,0.925304879406166,0.0214262138043755
Rhode Island,146960,636,2021-04-26,0.931646556815284,0.0215730606859496
Rhode Island,147220,260,2021-04-27,0.859923369600127,0.0207829824793886
Rhode Island,147601,381,2021-04-28,0.908439456025982,0.0219555392557278
Rhode Island,147897,296,2021-04-29,0.859141522802168,0.0214852532611109
Rhode Island,148186,289,2021-04-30,0.83899872448419,0.0217354264943203
Rhode Island,148186,1,2021-05-01,0.827372920283999,0.0221600081385926
Rhode Island,148186,1,2021-05-02,0.827372920283999,0.0221600081385926
Rhode Island,148669,483,2021-05-03,0.827372920283999,0.0221600081385926
Rhode Island,148929,260,2021-05-04,0.827372920283999,0.0221600081385926
Rhode Island,149197,268,2021-05-05,0.827372920283999,0.0221600081385926
Rhode Island,149384,187,2021-05-06,0.827372920283999,0.0221600081385926
Rhode Island,149577,193,2021-05-07,0.827372920283999,0.0221600081385926
South Carolina,0,1,2020-02-15,1.41133689483681,0.498982944438935
South Carolina,0,1,2020-02-16,1.41133689483681,0.498982944438935
South Carolina,0,1,2020-02-17,1.35577230788489,0.479337896325169
South Carolina,0,1,2020-02-18,1.32382081767585,0.468041338627256
South Carolina,0,1,2020-02-19,1.30030355641548,0.459726731171185
South Carolina,0,1,2020-02-20,1.28170770868519,0.453152106155183
South Carolina,0,1,2020-02-21,1.26640735297135,0.447742613515272
South Carolina,0,1,2020-02-22,1.2534856886144,0.443174115269767
South Carolina,0,1,2020-02-23,1.24236665050647,0.439242941646571
South Carolina,0,1,2020-02-24,1.23266186358375,0.43581178132506
South Carolina,0,1,2020-02-25,1.22409601747971,0.432783297391675
South Carolina,0,1,2020-02-26,1.21646641547905,0.430085825735465
South Carolina,0,1,2020-02-27,1.20961931168562,0.427665008973552
South Carolina,0,1,2020-02-28,1.20343524339681,0.425478610662384
South Carolina,0,1,2020-02-29,1.19781951357307,0.423493150342546
South Carolina,0,1,2020-03-01,1.34178275371386,0.447260917904619
South Carolina,0,1,2020-03-02,1.22147968766937,0.407159895889791
South Carolina,0,1,2020-03-03,1.20118722454026,0.400395741513419
South Carolina,0,1,2020-03-04,1.58786725295968,0.458377792966832
South Carolina,0,1,2020-03-05,1.47233396891444,0.393497805041923
South Carolina,0,1,2020-03-06,1.34924393442847,0.348373285867524
South Carolina,2,2,2020-03-07,1.23842984144564,0.319761210091016
South Carolina,2,1,2020-03-08,1.93387008037869,0.394749577146907
South Carolina,3,1,2020-03-09,1.31109814383717,0.267626787925934
South Carolina,7,4,2020-03-10,1.75719679349538,0.301356763901411
South Carolina,10,3,2020-03-11,1.79488619158142,0.261811059074712
South Carolina,7,2,2020-03-12,1.59312887152704,0.211015073931208
South Carolina,8,1,2020-03-13,1.70022185527143,0.196324709164609
South Carolina,19,11,2020-03-14,2.08429023013342,0.190268795905284
South Carolina,19,1,2020-03-15,1.7623149367458,0.140648043731821
South Carolina,30,11,2020-03-16,1.49982669081429,0.112416763276711
South Carolina,47,17,2020-03-17,1.9382300497402,0.118175971832884
South Carolina,60,13,2020-03-18,1.46277205079352,0.0850218984626005
South Carolina,80,20,2020-03-19,1.57180022655619,0.082271784011223
South Carolina,126,46,2020-03-20,1.21289136201591,0.0652054435839907
South Carolina,174,48,2020-03-21,1.46132996346738,0.0714759848940407
South Carolina,196,22,2020-03-22,1.4470457127048,0.0655046815786787
South Carolina,298,102,2020-03-23,1.47338573612021,0.0611790127328792
South Carolina,342,44,2020-03-24,1.34968615572698,0.0538155112502935
South Carolina,424,82,2020-03-25,1.44362585016243,0.0529614958951547
South Carolina,424,1,2020-03-26,1.44647731963156,0.0490120142281554
South Carolina,542,118,2020-03-27,1.60515378653796,0.0477293307850196
South Carolina,660,118,2020-03-28,1.29524791486021,0.0380461910006065
South Carolina,774,114,2020-03-29,1.31932041369684,0.0371971753248016
South Carolina,925,151,2020-03-30,1.22523301815991,0.0342999395521787
South Carolina,1083,158,2020-03-31,1.21054675103282,0.0334716941489661
South Carolina,1293,210,2020-04-01,1.1910460641363,0.0325977725726783
South Carolina,1554,261,2020-04-02,0.973666425471545,0.0290162309587274
South Carolina,1700,146,2020-04-03,1.19258141025455,0.0338533884540156
South Carolina,1917,217,2020-04-04,1.23838652208721,0.033469906002357
South Carolina,2049,132,2020-04-05,1.07980066539891,0.0299944629277475
South Carolina,2232,183,2020-04-06,1.08324600703064,0.0303607779153103
South Carolina,2417,185,2020-04-07,0.995826454142899,0.0292258768031049
South Carolina,2417,1,2020-04-08,1.03504823117847,0.0306824091171423
South Carolina,2793,376,2020-04-09,1.14903723600436,0.0326304648089607
South Carolina,3067,274,2020-04-10,0.99727813966827,0.0295497926211169
South Carolina,3211,144,2020-04-11,0.948489959545657,0.0295109083374139
South Carolina,3320,109,2020-04-12,1.01996593061619,0.0316582561534281
South Carolina,3391,71,2020-04-13,1.04669742110337,0.0321794280135942
South Carolina,3553,162,2020-04-14,1.0343701199953,0.0318305400736732
South Carolina,3656,103,2020-04-15,1.0675304212157,0.0323419828579228
South Carolina,3931,275,2020-04-16,1.25553195202922,0.03470890446764
South Carolina,4099,168,2020-04-17,1.00375379969546,0.0291034838191293
South Carolina,4248,149,2020-04-18,1.03600592459983,0.030229831640165
South Carolina,4377,129,2020-04-19,1.07585961982117,0.0309479780455355
South Carolina,4446,69,2020-04-20,1.15565169077258,0.0317541855156422
South Carolina,4439,195.5,2020-04-21,1.11857543787018,0.0302152198614865
South Carolina,4761,322,2020-04-22,1.02159105002695,0.0283665873782415
South Carolina,4917,156,2020-04-23,0.908151363369725,0.0271120159176973
South Carolina,5070,153,2020-04-24,1.04799743895192,0.0305213204594222
South Carolina,5253,183,2020-04-25,1.03688730279832,0.0300704985886421
South Carolina,5498,245,2020-04-26,1.07149900667101,0.0304654026881553
South Carolina,5613,115,2020-04-27,0.951712792002323,0.0283242837041362
South Carolina,5735,122,2020-04-28,1.01903166611577,0.030115143466031
South Carolina,5882,147,2020-04-29,0.983115269154722,0.0295481728524904
South Carolina,6095,213,2020-04-30,0.957899305337943,0.0294912804073242
South Carolina,6258,163,2020-05-01,0.98467887335586,0.0304168319781842
South Carolina,6489,231,2020-05-02,1.05402938661823,0.0316367039070668
South Carolina,6626,137,2020-05-03,0.958031542775923,0.0296645424467477
South Carolina,6757,131,2020-05-04,0.978866612519393,0.0305300108317435
South Carolina,6841,84,2020-05-05,1.00089140087146,0.0310961827776055
South Carolina,6936,95,2020-05-06,1.04873733755438,0.0318091422403214
South Carolina,7142,206,2020-05-07,1.02564186699046,0.0309947887698754
South Carolina,7367,225,2020-05-08,0.973299824003459,0.0300653319698171
South Carolina,7531,164,2020-05-09,0.992289391978398,0.030754805430893
South Carolina,7653,122,2020-05-10,1.0863501932963,0.0323026791320988
South Carolina,7792,139,2020-05-11,1.06173539432777,0.0311200155418784
South Carolina,7927,135,2020-05-12,1.02285061206871,0.0301491135576807
South Carolina,8030,103,2020-05-13,1.00579219881429,0.0299205133881776
South Carolina,8189,159,2020-05-14,1.03026939747782,0.0304339618004623
South Carolina,8407,218,2020-05-15,1.06298387508002,0.0307755947587998
South Carolina,8661,254,2020-05-16,1.06719924033016,0.0304046601563283
South Carolina,8816,155,2020-05-17,1.04194708417131,0.0296491457395912
South Carolina,8942,126,2020-05-18,1.07266349239026,0.0299701512698955
South Carolina,9056,114,2020-05-19,1.00761616588201,0.0286490533892914
South Carolina,9175,119,2020-05-20,1.12718231006705,0.0305537908737743
South Carolina,9381,206,2020-05-21,1.12667623698477,0.0295981755610002
South Carolina,9638,257,2020-05-22,1.03849779328137,0.0276760591826635
South Carolina,9895,257,2020-05-23,1.11050033437784,0.0287305139441473
South Carolina,10096,201,2020-05-24,1.06810505395961,0.0275783539065702
South Carolina,10178,82,2020-05-25,1.24244410170271,0.029565246825461
South Carolina,10416,238,2020-05-26,1.23323585434952,0.0277781187722132
South Carolina,10623,207,2020-05-27,1.13807105788888,0.0254226325527145
South Carolina,10788,165,2020-05-28,1.01628389051051,0.023640902835059
South Carolina,11131,343,2020-05-29,0.997722548427129,0.0239254434672869
South Carolina,11394,263,2020-05-30,1.39022239223688,0.0288132860894684
South Carolina,11861,467,2020-05-31,1.04969597283714,0.022664695191144
South Carolina,12148,287,2020-06-01,1.22838739652767,0.0248577904177034
South Carolina,12419,271,2020-06-02,1.21392104416819,0.023567950388529
South Carolina,12470,51,2020-06-03,1.19032779061343,0.0224550182956321
South Carolina,12526,56,2020-06-04,1.31391834799583,0.0229071166998718
South Carolina,13458,932,2020-06-05,1.37404717270451,0.0219573690447427
South Carolina,13538,80,2020-06-06,1.11793272638447,0.018346498734502
